series_name,base_number,company_name,type,timestamp,value
T1,B00013,LOVE CORP CAR INC,trips,2015-01-01,26.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-02,79.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-03,62.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-04,76.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-05,292.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-06,414.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-07,412.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-08,484.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-09,326.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-10,117.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-11,144.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-12,378.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-13,448.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-14,501.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-15,495.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-16,349.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-17,120.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-18,59.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-19,106.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-20,395.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-21,453.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-22,441.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-23,292.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-24,99.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-25,124.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-26,163.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-27,50.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-28,438.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-29,451.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-30,338.0
T1,B00013,LOVE CORP CAR INC,trips,2015-01-31,117.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-01,160.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-02,349.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-03,543.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-04,564.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-05,528.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-06,512.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-07,145.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-08,160.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-09,339.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-10,435.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-11,462.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-12,435.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-13,337.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-14,69.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-15,77.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-16,121.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-17,375.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-18,463.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-19,466.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-20,351.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-21,105.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-22,123.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-23,410.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-24,476.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-25,459.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-26,501.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-27,357.0
T1,B00013,LOVE CORP CAR INC,trips,2015-02-28,125.0
T1,B00013,LOVE CORP CAR INC,trips,2015-03-01,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-02,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-03,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-04,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-05,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-06,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-07,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-08,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-09,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-10,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-11,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-12,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-13,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-14,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-15,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-16,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-17,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-18,
T1,B00013,LOVE CORP CAR INC,trips,2015-03-19,
